구분,QA
데이터 다루기,"안녕하세요
오늘 강의 수고하셨습니다. 

1. 코드 셀에서 코드 뒤에 주석을 달 때, 아래처럼 주석을 나란히 정렬하고픈 데
스페이스 바로 하나하나 맞춰야 하나요? 코드나 주석이 길다면 각각 한 줄로 작성하겠지만, 
짧을 경우 줄 바꿈을 자주 쓰는 것이 보기에 불편하다는 생각이 들었습니다.
탭 키는 코드 맨 앞에서 들여쓰기만 가능하고 코드 뒤에서는 작동하지 않는 것 같아요.

코드1          # 주석
코드100     # 주석 100


2. 함수? 입력 시 따옴표나 괄호가 자동 입력 되는데, 엔터를 누르면 괄호가 아래로 내려갑니다.
줄 바꿈 없이 바로 완성하려면 어떻게 하나요?


3. 앞으로 print같은 함수는 수 천 번 쓰인다는 데, 편하게 쓸 수 있는 단축키가 있나요?


4. datetime처럼 라이브러리 규모가 클 때 import와 더불어 from을 사용한다고 하셨습니다.
라이브러리가 크면 처리 속도가 느려지나요? 라이브러리가 크다는 기준이 뭔가요?
from 입력 후 tab키를 눌러 나오는 목록들이 해당된다고 볼 수 있나요?

감사합니다답변이 길어서 파일로 첨부하였습니다."
데이터 다루기,"if 563421 % 3 == 0:
    result = ""3의 배수""
else :
    result = ""3의 배수가 아니다.""

result

이런식으로 해도 되나요?안녕하세요 김동현 에이블러님 15튜터 입니다 

답변은 맞습니다. 제어문을 잘 활용해 주셨군요!  
제어문을 활용해 더 좋은 실습풀이가 된 것 같습니다.

실습명 연산자와 기본 자료형에 맞춰서 print()로 작성해본다면
print(563421%3)  

연산 되어 도출된 나머지를 보신다면 나누어 떨어지는지 확인할 수 있습니다.
문의 주신 부분에 대하여 도움이 되셨으면 좋겠습니다

"
데이터 다루기,"563421 이 3의 배수인지 확인해보세요. 이 문제는 혹시 print(563421 % 3 == 0)이 맞나요??안녕하세요 최현우, 에이블러님.

네 맞습니다.
print(563421 % 3) 까지만 표시해도 좋습니다.
하지만 해주신 것 처럼
== 0을 통해 True or False로 표기해도 좋은 방법으로 보입니다.

감사합니다."
데이터 다루기,"변수 g에 1을 저장하고 g에 1을 더해서 다시 g에 대입하세요.

이건 어떻게 풀이하는건가요?안녕하세요 김혜수 에이블러님, 튜터링센터입니다.
질문해주신 변수 g에 1을 저장하고,  g에 1을 더해서 다시 g에 대입하세요라는 말은
1. 변수 g에 1을 저장하세요.
2. 그 변수 g에 1을 더해서 다시 g에 대입하세요. 라는 단계로 나눌 수 있습니다.
따라서
g=1
로 변수 g를 선언하면서 1을 저장하고
g = g+1
로 해당 변수에 1을 더한 뒤 다시 g에 대입할 수 있습니다.
부가적으로
g=  g+1의 경우 교재에 나오는 복합 대입 연산자를 이용하여 g+=1로 표현할 수 도 있습니다.
감사합니다."
데이터 다루기,"실습01
실습 #3
3. 변수 a, b에 임의의 숫자를 각각 저장하고 변수 c에 a와 b의 합, 변수 d에 a와 b의 곱을 저장하여 크기를 비교하세요.

a = 35
b = 25
c = a + b
d = a * b
print(a &lt; b)
print(b &lt; c)
print(c &lt; d)

이런식으로 비교를 하라는 건가요??안녕하세요 한희선 에이블러님.

해당 실습은 위에 질문에서 해결하신 것처럼 a, b, c, d 각각의 크기를 모두 비교하셔도 좋지만,
문제에서는 c와 d에 대해서 비교하라고 나와있기 때문에 c와 d만 비교해 주셔도 상관 없습니다.

따라서 맨 마지막 3줄
print(a < b)
print(b < c)
print(c < d)
를 

print(c < d, c > d)
로 바꿔주시면 좋을  것 같습니다.

감사합니다."
데이터 다루기,"a = 1
b = 15
c = print('c=', a+b)
d = print('d=', a*b)

print(c&gt;d)

이렇게 실행하면 오류가 나오는데, 혹시 어떤 점이 잘못된 지 여쭙고 싶습니다!안녕하세요, 이다인 에이블러님.

c = print('c=', a+b)
d = print('d=', a*b)

는 정상적으로 출력이 될 것으로 보이나

a = 1
b = 15
c = print('c =', a+b)
d = print('d =', a*b)

print(type(c))
print(type(a))

으로 type을 출력해보시면 a는 int, c는 non type이 나옵니다.
따라서 c와 d를 비교하면 type이 없기 때문에 비교가 불가능합니다.

조금 더 쉽게 이야기 하면 c라는 변수에 print 자체를 대입해서 발생하는 문제입니다.

a = 1
b = 15
c = a + b
d = a * b
print('c =', c)
print('d =', d)

의도하신 바가 위 코드처럼 표시될 수 있을 것 같습니다.
감사합니다."
데이터 다루기,"i**=2 가  i **=2 와 왜 같은지가 이해가 잘 안됩니다!!안녕하세요 장민정 에이블러님 :)

i**=2
i **=2

이 두코드가 왜 같은지 이해가 잘 안된다고 문의해주셨습니다.
제가 보기엔 두 코드의 차이는 공백의 차이는 변수와 복합연산자 사이의 공백의 여부로 보입니다.

이 코드의 중요한 점은 변수(i), 복합연산자(**=), 연산시 사용되는 수(2) 입니다

i,**=,2 사이의 공백은 Enter가 아닌 이상 여부가 상관없습니다. 공백이 여러칸이여도 상관 없습니다

핵심은  '**=' 복합연산자는 하나의 형태로 존재하기 때문에 연산자 사이에는 공백이 존재해서는 안됩니다.
ex) i* *=2
    i ** = 2

이외에도 +=,-=,*=,%= 모든 복합연산자는 동일합니다 
답변이 도움이 되셨으면 좋겠습니다.
  "
데이터 다루기,"앗...제가 질문을 잘못드려서 혼란이 있으셨을 듯 합니다 죄송합니다...ㅠ
원질문은 
 i** 2  와  i**=2가 같은 이유가 궁금했습니다
다시한번 설명 부탁드립니다! 감사합니다안녕하세요. 장민정 에이블러님 튜터링센터입니다.
i**=2는 복합연산자로 쉽게 말하자면 약어라고 생각하시면 될 것 같습니다.
i**=2 는 i= i**2를 줄인 표현이라고 생각하시면 될 것 같습니다.
정확히는 a = a (사칙연산기호) b라고 할 때, 복합연산자라는 약어를 통해
a (사칙연산기호)= b로 줄일 수 있습니다.
감사합니다."
데이터 다루기,"안녕하세요 지금 f-string 실습 중에 궁금증이 생겨서 질문드립니다.

블럭 + shift + { 누르면 ""홍길동"" -&gt; ""{홍길동}"" 으로 나온다고 배웠는데

저는 ""홍길동"" -&gt; ""{"" 처럼 그냥 키가 입력됩니다.

뭐가 문제인지 모르겠습니다 ㅠㅠ안녕하세요. 유선훈 에이블러님:)

[설정]-[편집기]-[코드 셀에서 자동으로 괄호 및 인용부호 닫기]가 해제되어있을 경우 해당 현상이 발생합니다.
해당 기능 활성화 후 다시 시도해보시면 되겠습니다.

감사합니다."
데이터 다루기,"[*]가 뜨더니 재생이 안되요안녕하세요 김수현 에이블러님.

[*]가 떠서 재생이 안된다고 문의를 주셨는데,
코드 셀 옆의 [ ]에 *표시가 떠서 실행이 안되시는 것 같습니다.

* 표시는 셀을 실행 중에 있다 라는 의미입니다.
코드 실행 후 Counter 숫자가 떠야 정상이지만 그렇지 않을 경우,

주피터랩 상단에 Restart the kernel이라는 새로고침 표시가 있는데,
이를 이용해 다시 실행시켜 보시기 바랍니다.

만약 그랬는데도 같은 현상이 반복된다면
주피터랩을 종료 후 다시 실행시켜 보시기 바랍니다.

감사합니다."
데이터 다루기,"코치님, 안녕하세요. 

코드 셀에 print('#world#$$#'.strip('#'))  입력 후 실행하면   world#$$  이렇게 출력 되는데 혹시 world 오른쪽에 #은 왜 제거가 되지 않는지요?안녕하세요 이동주 에이블러님:)

print('#world#$$#'.strip('#'))의 결과값에 대해서 world#$$의 '#' 부분의 제거가 되지 않는 이유에 대해서
문의 주셨습니다

strip()의 기능은 '괄호안에 있는 문자가 양쪽에 있다면 제거해줘' 라는 메소드 입니다.
제거되는 과정은 파이썬이 양끝에서 순차적으로 해당 문자가 맞다면 지우기 시작합니다.

오른쪽 부분에서 처음 #에 대해서는 해당문자와 일치하여 지워질 것입니다. 그러면 타깃은 
#왼쪽에 있는 $로 넘어갑니다. 이때 strip은 #을 지워야 하는데 $을 만나서 strip기능을 중단하게 됩니다.
결과적으로 가운데에 있는 #은 제거되지 않게 됩니다.

강사님 강의 대로 문자열 가운데에 있는 #은 replace라는 메소드를 사용하여 제거해야합니다. 
print('#world#$$##'.strip('#').replace('#' , ''))

이 코드를 진행하면 가운데의 #이 제거될 것입니다.

문의주신 내용에 도움이 되셨으면 좋겠습니다:)"
데이터 다루기,"1)split 메소드 결과 값에서 공백을 없애려면 ',   ' 이나 '/   ' 처럼 구분자 바로 뒤에 공백을 넣어줘야 하는데, 이건 split의 기본 설정이 공백이라서 공백을 한 번 더 넣어주면 공백이 사라진다고 이해하면 되는 걸까요?

2)수업 자료에서 마크다운 셀 중간에 내용을 강조하는 **~** 가 반영되지 않는 경우가 있던데 강조 표시가 중간에 위치하게 되는 경우에는 반영이 되지 않는 건가요? 따로 다른 셀에 해봤을 땐 됐는데 해당 셀에서는 재시도를 해도 안 돼서 질문 남깁니다.안녕하세요, 이수진 에이블러님.

1. 우선 split() 메소드는 말씀해주신 것이 맞습니다. 
split()은 기본 값이 공백으로 설정되어 있기에 공백의 경우 안에 인자 없이 split()을 사용하게 됩니다.

2. 저희가 가진 파일에는 **~** 전부 적용이 잘 되어 있어서 어느 부분인지 확인이 어렵습니다.
아마 수진 에이블러님 컴퓨터에 해당 셀에 대해서 일시적으로 오류가 발생한 것 같습니다.
텍스트와 텍스트 사이에 강조표시가 있더라도 잘 동작합니다!

감사합니다.

"
데이터 다루기,"아까 2-6번 연습 문제 1번 my_str.split(', ')로는 어떻게 푸나요...?  아까 3시 40분 즈음에  이렇게 답변 다신 분들이 계셨는데 그때 제 코딩하느라 정신 팔려서 못 봤습니다...!
(답을 못 받아서 다시 질문 드립니다..!)안녕하세요. 박지현 에이블러님

기다려주셔서 감사합니다. 안되는 부분을 구체적으로 말씀해줄 수 있을까요?
말씀하신 부분이 첨부파일에 해당되는 질문의 답을 문의하신걸로 이해하고 있는게 맞을까요?

확인 후 추가 안내 드리도록 하겠습니다.
감사합니다.
"
데이터 다루기,"안녕하세요 오늘 수업 중 마지막 예제에서 역순으로 출력하고 싶어서 
print(member[-4:0]) 를 입력했는데  결과 값이 []인데 잘못된건가요??안녕하세요? 이소연 에이블러님

리스트에 대해 끝에서부터 인덱스로 조회하고자 하려면  - 인덱스로 표현하는게 맞습니다.
그런데, - 인덱스는 제일 끝이 -1 입니다.
마지막까지 조회하기 원하시면,  print(member[-4: ]  ) 라고 하셔야 한답니다.



"
데이터 다루기,"검은화면으로 전환하는것이 기억이안납니다 ㅠ안녕하세요. 고선기 에이블러님.

구글 코랩에서 검은 화면으로 전환 하는 방법의 경우
오른쪽 상단 톱니바퀴 모양(설정) -> 사이트 -> 테마 -> dark로 설정해주면 검은 화면으로 구글 코랩을 이용하실 수 있습니다

감사합니다"
데이터 다루기,"재질문드립니다 ㅎㅎ
객체나 클래스의 개념에 대해 설명부탁드립니다^^안녕하세요 장민정 에이블러님!

간단하게 설명하면 클래스는 오브젝트(객체)를 생성하는 코드 템플릿 즉 오브젝트를 생성하는 틀(형판) 입니다.  예를 들면 클래스 snake 라는 틀을 사용해서 여러 종류의 snake 즉 오브젝트들을 생성할 수 있습니다.  오브젝트는 맴버변수를 가지고 있고 맴버변수과 연관되어져 있는 행위 즉 맴버함수를 가지고 있습니다.

추가적으로 질문이 있으시면 언제든지 질문해주세요!

"
데이터 다루기,"a =  ['사람', '코끼리', '낙타'] 
','.join(a)
print(','.join(a))

했을때  사람, 코끼리, 낙타  이렇게 한줄만 출력이 되는데요 
원래 2줄이 나오는걸로 생각했는데 
그렇지 않은 이유가 있나요?안녕하세요 장민정 에이블러님.

a =  ['사람', '코끼리', '낙타'] 
','.join(a)
를 실행했을 때 
'사람,코끼리,낙타' 라는 결과값이 나오니,

밑에 print(','.join(a)) 를 추가시켜 주면
'사람,코끼리,낙타'
사람,코끼리,낙타
이렇게 총 2줄이 출력되어야 하는게 아닌가에 대한 질문인것 같습니다.

쉽게 예시를 하나 들어보겠습니다.
a = 1
a + 1
를 실행하게 되면 2가 출력 됩니다. 이 경우는 코드 셀 맨 마지막 줄의 a+1의 결과 값이 출력이 되는 것입니다.

a = 1
a + 1
print(a + 1)
를 실행하게 되면 위 예시에서 출력 되었던 a + 1의 결과 2는 출력되지 않고 print(a + 1)만 출력되기 때문에 2 하나만 출력됩니다. a + 1이 코드 셀의 마지막 줄이 아니기 때문입니다.

a = 1
print(a + 1)
a + 1
를 실행하게 되면 print(a + 1)의 2와 코드 셀 맨 마지막 줄의 a + 1의 2가 총 두 번 출력됩니다.

위에 예시를 든 것과 같이, 주피터에서는 print()없이 출력하고자 하는 값들은 기본적으로 코드 셀의 제일 마지막에 위치한 값만 출력하게 됩니다.

즉, 에이블러님께서 실행한 코드는
','.join(a) 는 코드 셀의 마지막 줄이 아니기 때문에 출력이 안되고,
print(','.join(a))만 출력되어
사람, 코끼리, 낙타 한 줄만 나오는 것입니다.

감사합니다.
"
데이터 다루기,"product = ""아메리카노""
count = 3
price = 4000

c = f'''주문할게요.
{product} {count}잔 주세요.
한 잔이 {price}원 맞죠?
'''
print(c)

위 구문에서 {price} 뒤에 ,를 넣으니 
주문할게요.
아메리카노 3잔 주세요.
한 잔이 (4000,)원 맞죠?
이렇게 출력이 되었습니다.
:,를 사용하면 4,000으로 출력이 되는건 알겠으나 그냥 ,만 넣었을 때 왜 ()가 생기는지 궁금합니다.안녕하세요? 이준혁 에이블러님

잘 알고 계시는 것처럼, 문자열 안에 {price} 로 지정하면 문자열 바깥에서 price 변수에 값을 담아 출력하도록 하지요. 
그런데 {price, } 이렇게 쉼표를 붙이면 price와 또 다른 변수를 받을 수 있게 됩니다. 그리고 출력 형태는 튜플 형태가 됩니다.

혹시 더 궁금하신 점이 있으면 또 질문해주세요.
고맙습니다."
데이터 다루기,"a = ['사람', '코끼리', '낙타']
print(','.join(a))  #####사람,코끼리,낙타
','.join(a)  #####'사람,코끼리,낙타'

결과값이 위와같이 다른데 두개의 type이 다르게 되는 건가요...?안녕하세요 이소연 에이블러님!
해당 질문에서

두 개의 차이는 type의 차이라고 보기 어렵습니다
위의  print(','.join(a))  #####사람,코끼리,낙타
이것은 print()는 출력하는 함수로 ()안의 것을 출력합니다.

','.join(a)  #####'사람,코끼리,낙타'
이것은 jupyter lab 편집기 상에서 해당하는 부분을 간단히 볼 수 있도록
저것만 입력하더라도  ' ' 가 감싸주어 문자열(str) 형태의 자료가 '사람,코끼리,낙타' 이렇게 들어있다는 것을 보여줍니다.

하지만 다른 개발 환경 (jupyter , colab  이외의)에서 ipynb 확장자가 아닌 py 확장자로 파이썬 파일을 저장하게 되면
아무것도 출력 되지 않는 모습을 볼 수 있습니다.

그리고 type을 확인하고 싶으시다면
type(print(','.join(a))) #----1
type(','.join(a))  #---- 2
을 출력하여 확인하실 수 있습니다.
출력 하셨을 때 

1번의 출력은  NonType .
print()는 출력 함수이기에 따로 무언가 함수가 실행된 후 값이 도출되지 않아 Type이 존재하지 
않는다는 것을 알 수 있고

2번의 출력은 str  .     ','.join(a)  a요소들 사이에 ','  a 값은  str 값을 가진다는 것을 알 수 있습니다.

다시 정리하면
해당 질문은 위와 아래는 모두 str 타입이지만 print 를 사용한 것과 사용하지 않은 것에 차이가 있고, ipynb 확장자의 파일들은 데이터  확인을 위해서 print 입력 없이도 변수 내의 값을 볼 수 있도록 편의를 제공해주어 볼 수 있다는 내용입니다. 왜 ipynb 파일만 그런 기능을 제공하느냐 는 ipynb파일은 데이터 처리와 인공지능 개발에 초점을 맞추어 설계되었기에  그러한 편의를 제공합니다.

"
데이터 다루기,"튜플이 값을 고정시키는 거라고 배웠는데요
출력값이 () 안에 있으면 튜플이고 [] 에 있으면 리스트일까요?안녕하세요 장민정 에이블러님:)

튜플은 요소값을 지우거나 변경이 안되는 자료형입니다.
위의 부분 외에는 리스트와 기능은 동일합니다.

출력 값에서 () 은 튜플, [] 은 리스트가 맞습니다.

추가적으로) 
튜플을 선언 시에는 괄호가 꼭 필요하진 않습니다.
a = 1,2,3 
이런식으로도  선언이 가능합니다. 주의할 점은 원소를 하나만 가진 튜플을 생성할 때는

(1) a= 1
(2) a=1,

2번처럼 입력하셔야 합니다. 반점 없이 입력하게 되면 a가 튜플이 아닌 변수로 선언되기 때문입니다.

문의해주신 질문에 도움이 되셨으면 좋겠습니다:)
"
데이터 다루기,"요소가 하나인 튜플을 생성할 때, 
ex) score = 90, 
이렇게 한다고 배웠는데, 
tuple함수를 이용해서 가능한지 확인하기위해, tuple(90), tuple(90,)을 시도 해봤지만, 오류가 났습니다.
tuple함수를 이용해서는 요소가 하나인 튜플을 만들 수 없나요? 있다면 방법이 어떻게 되나요?안녕하세요, 김동현 에이블러님.
tuple()을 사용하지 않는 경우에는 아래와 같이 사용할 수 있습니다.

# 요소가 하나인 튜플 만들기
score = (90,)

# 확인
print(score)
print(type(score))
print(len(score))

tuple()을 사용하는 경우에는 아래와 같이 만들 수 있습니다.
# 요소가 하나인 튜플 만들기
score = tuple((90,))

# 확인
print(score)
print(type(score))
print(score[0])
print(len(score))

감사합니다."
데이터 다루기,"a = 10
b = 20
# a, b = (b , a)       
a, b = b, a          
print(a, b)
--------------------
출력값 20 10

선생님께서는 이것이 튜플이라 가능하다 하셨는데... 마법이 일어난걸까요..?
이해를 못하겠습니다 ㅠ안녕하세요 장민정 에이블러님 :)

변수로만 a와 b에 저장되어 있는 값을 바꾸려면

ex)
a=0
b=1
c =2

c = a 
a = b
b = a

print(a,b)

>>> 1 0

이렇게 조금은 복잡한 과정을 거쳐야 합니다 

하지만 python의 튜플을 이용하면 단순한 순서 교환으로도 두 변수의 값을 바꿀 수 있습니다.

ex)
a,b = b,a 

위의 코드보다는 단순하다는 것을 알 수 있습니다.

튜플 예시를 보면 양변의 순서대로 좌변 첫번째 변수인 a에는 우변의 첫 번째 b가 들어가고
좌변 두번째 변수 b에는 우변의 두 번째 변수 a가 들어간다라고 생각하시면 될 것 같습니다.
변수를 교환할 수 있는 하나의 변수 교환 법칙으로 생각하면 될 것 같습니다

문의 주신 질문에 도움이 되었으면 좋겠습니다:)"
데이터 다루기,"안녕하세요 매니저님, 남정현입니다.
방금 질문드린 사항에 대한 코드입니다.

nums = [1, 2, 3, 4, 5]
a = nums.sort(reverse=True)
print(a)

---------------------------------------------------------------------------
TypeError                                 Traceback (most recent call last)
 in 
      1 nums = [1, 2, 3, 4, 5]
      2 a = nums.sort(reverse=True)
----&gt; 3 print(a)

TypeError: 'int' object is not callable

확인해주시면 감사하겠습니다.안녕하세요, 남정현 에이블러님.

해당 에러는 예약어를 사용했을 때 나오는 에러메시지입니다.
다만 드물게 예약어와 혼동이 있는 산술식을 사용했을 때도 발생합니다.

하지만,  제가 실행해보니 기재해주신 코드 상에는 문제가 없는 것을 확인하였습니다.
(None 출력)

아마 Jupyter Notebook에서 과거에 실행했던 셀과 충돌이 나는 것 같은데  
del a 로 삭제 후 다시 실행해보시거나 
커널재시작, 쥬피터 노트북을 재부팅 해보시는 것을 권장 드립니다. 

감사합니다.
"
