구분,QA
융합기술대학 ,"융합기술대학 
융합기술대학은 수요자 중심의 현장 맞춤형 교육 시스템을 바탕으로 미래의 지식기반 사회를 주도하는 핵심 전문 인력 배출을 위해 기초분야에서 응용분야에 이르기까지 체계적인 시스템을 구축하고 있다."
공과대학,"공과대학 
공학교육의 혁신을 위하여 현재 공학교육인증(ABEEK) 제도를 도입하여 운용중에 있으며, 긴밀한 산학협력 체제를 구축하여 교육역량 강화 및 기초과학과 창의성을 바탕으로 한 실용적인 공학교육기반조성에 역점을 두고 있다."
인문대학,"인문대학 
인문대학은 인간과 사회를 여러 방면에서 이해하고 연구하는 대학으로, 전인적 인격을 완성하는 동시에 민주적 시민으로서 높은 도덕적 자질과 학문적 교양을 갖춘 우수한 인재를 양성하고 있다. 지식기반 사회에 더불어 사는 공동체의 지속가능한 발전을 위한 창의적인 사고를 갖춰, 졸업 후 다양한 인문사회 영역에서 전문가적 역할을 수행할 수 있도록 교육하는데 주력하고 있다."
사회과학대학 ,"사회과학대학 
사회과학대학은 인간과 사회를 여러 방면에서 이해하고 연구하는 대학으로, 전인적 인격을 완성하는 동시에 민주적 시민으로서 높은 도덕적 자질과 학문적 교양을 갖춘 우수한 인재를 양성하고 있다. 지식기반 사회에 더불어 사는 공동체의 지속가능한 발전을 위한 창의적인 사고를 갖춰, 졸업 후 다양한 인문사회 영역에서 전문가적 역할을 수행할 수 있도록 교육하는데 주력하고 있다."
보건생명대학,"보건생명대학 
보건생명대학의 비전은 글로벌 미래사회를 선도해 나갈 보건 인력인과 생명공학인 그리고 유아특수교육교사 양성에 있다."
철도대학,"철도대학 
철도시스템을 이루는 각 분야를 연구하는 학문간 융합교육을 통해, 국제 철도시대의 경쟁력 및 산업현장에서 필요로 하는 실력과 인성을 겸비한 우리나라 최고의 철도 전문 인재를 양성한다."
미래융합대학,"미래융합대학 
ʹ중부권 평생교육 혁신 선도대학ʹ 비전하에 중부권 지역의 성인학습자에게 첨단융합공학과 사회적 약자 배려를 위한 융합학문을 혁신적 방법으로 제공하여 미래산업 맞춤형 융합인재 양성에 역점을 두고 있다."
교양학부,"교양학부 
대학교육의 근본적인 역할과 목적을 재환기하고 사회소통능력과 공동체적 미적감각을 함양하는 개인의 잠재성 뿐만 아니라 사회의 잠재성을 최대한 실현하고 활성화함으로써 강력한 사회문화적 효과와 궁극적으로 학생들의 삶의 질을 고양하는 동시에 역동적 사회변화와 실천에 크게 기여하고자 한다."
자유전공학부,"자유전공학부 
자유전공학부의 최대 목표는 학생들의 잠재성 실현과 사회성 실현에만 그치는 것이 아니라 이 시대가 요구하는 새로운 창조적 교육 모델과 지속가능한 차원에서 다양한 사회문제의 해법을 제시하는데 있다."
창의융합학부,"창의융합학부 
다양한 전공의 참여교수님들이 현장 중심의 교육 및 프로젝트 중심 교육을 통해 다양한 학제간 학문적 특성을 갖는 학생들과 토론 및 실습을 실시하여 융합적인 사고를 키움과 동시에 창업이 이루어 질 수 있는 실질적인 교육을 받을 수 있는 학부이다."
융합기술대학 ,"융합기술대학 기계공학과 
기계공학은 로봇, 자동차, 반도체, 항공우주, IT기기, 바이오진단 등의 산업에서 다양한 기계시스템의 설계, 분석, 생산, 관리를 위하여, 물리학, 재료과학, 창의공학설계 등의 원리를 적용하는 광범위한 분야입니다."
융합기술대학 ,"융합기술대학 AI로봇공학과 
AI로봇공학과는 지능형 로봇 및 인공지능 산업 기술인력 수요 급증에 따라 인공지능 및 로봇 분야에서 새로운 비즈니스를 창출하고 서비스 로봇, 협동 로봇, 의료 로봇, 지능형 로봇, 필드 로봇 등의 설계 및 개발이 가능한 융합형 AI 로봇 전문 인재 양성을 목표로 기계, 전기·전자, 소프트웨어, 산업디자인 학과가 융합하여 개설된 학과입니다. "
